xcoord,ycoord,ID_GRID,L15_KOTLY,L15_PIECE,L15_KOMINK,L15_SUMA_P,L16_KOTLY,L16_PIECE,L16_KOMINK,L16_SUMA_P,L17_KOTLY,L17_PIECE,L17_KOMINK,L17_SUMA_P,INW_DWD
19.9583208999388,49.9730875072877,2546,4,0,1,5,3,0,1,4,3,1,1,5,2017-04-30
19.9597147818411,49.9731000155443,2547,3,0,0,3,2,0,0,2,2,0,0,2,2016-12-31
19.961108664721,49.9731125070563,2548,2,0,0,2,1,0,0,1,1,0,0,1,2016-12-31
19.962502548577,49.9731249818238,2549,2,1,0,3,1,1,0,2,1,0,0,1,2017-04-30
19.963896433408,49.9731374398467,2550,1,0,0,1,1,0,0,1,1,0,0,1,2015-02-27
19.9652903192126,49.9731498811249,2551,1,0,0,1,1,0,0,1,1,0,0,1,2015-02-27
19.9666842059894,49.9731623056585,2552,0,0,1,1,0,0,1,1,0,0,1,1,2015-02-27
19.9820170243313,49.9732978703722,2563,0,1,0,1,0,1,0,1,0,1,0,1,2015-02-27
19.9848048219709,49.9733223008181,2565,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.9861987222223,49.9733344909235,2566,1,0,0,1,1,0,0,1,1,0,0,1,2015-02-27
19.9875926234264,49.9733466642839,2567,1,1,0,2,0,1,0,1,0,1,0,1,2016-12-31
19.9889865255818,49.9733588208991,2568,2,0,0,2,1,0,0,1,0,0,0,0,2017-07-31
19.9903804286873,49.9733709607692,2569,2,0,0,2,1,0,0,1,1,0,0,1,2016-12-31
19.9917743327415,49.9733830838941,2570,1,0,0,1,1,0,0,1,1,0,0,1,2015-02-27
19.9931682377431,49.9733951902738,2571,3,0,0,3,2,0,0,2,2,0,0,2,2016-12-31
19.8690934821835,49.9731510952667,2690,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.8732750130876,49.9731917858684,2693,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.8746688588414,49.9732053159159,2694,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.8774565535201,49.9732323257809,2696,4,1,0,5,2,1,0,3,2,1,0,3,2016-12-31
19.8788504024422,49.9732458055984,2697,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.9443624674725,49.9738604699724,2744,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.9457563654855,49.9738731460742,2745,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.9471502644892,49.9738858054311,2746,2,0,0,2,1,0,0,1,1,0,0,1,2016-12-31
19.9485441644823,49.9738984480432,2747,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.958301492026,49.9739864774706,2754,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.9596953998869,49.9739989861231,2755,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.9610893087253,49.9740114780305,2756,4,0,0,4,2,0,0,2,1,0,0,1,2017-04-30
19.96248321854,49.9740239531929,2757,3,0,0,3,2,0,0,2,2,0,0,2,2016-12-31
19.9638771293297,49.9740364116101,2758,2,0,0,2,2,0,0,2,2,0,0,2,2015-02-27
19.965271041093,49.9740488532821,2759,1,1,0,2,1,0,0,1,1,0,0,1,2016-12-31
19.9666649538287,49.9740612782089,2760,3,0,0,3,2,0,0,2,2,0,0,2,2016-12-31
19.9861798334918,49.974233468924,2774,1,1,0,2,1,1,0,2,0,1,0,1,2017-04-30
19.9875737606557,49.9742456426696,2775,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.988967688771,49.9742577996696,2776,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.9903616178363,49.9742699399239,2777,1,0,0,1,1,0,0,1,1,0,0,1,2015-02-27
19.9931494788121,49.9742941701955,2779,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.9945434107199,49.9743062602127,2780,1,0,0,1,1,0,0,1,1,0,0,1,2015-02-27
19.9959373435726,49.9743183334841,2781,2,2,0,4,1,2,0,3,1,2,0,3,2016-12-31
19.9973312773689,49.9743303900097,2782,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.9987252121073,49.9743424297895,2783,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
20.0043009604575,49.9743904214498,2787,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.8690724120006,49.9740500388631,3000,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.8760417652482,49.9741177749604,3005,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.8774356390715,49.9741312719484,3006,0,0,2,2,0,0,2,2,0,0,2,2,2015-02-27
19.8788295139495,49.9741447521925,3007,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.9443427989861,49.9747594360214,3054,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.9457367229583,49.9747721125244,3055,2,0,0,2,2,0,0,2,2,0,0,2,2015-02-27
19.9471306479213,49.974784772282,3056,3,0,1,4,1,0,1,2,1,0,1,2,2016-12-31
19.9485245738737,49.9747974152943,3057,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.962463887528,49.9749229244164,3067,3,0,0,3,2,0,0,2,1,0,0,1,2017-07-31
19.9638578242777,49.9749353832279,3068,1,0,0,1,1,0,0,1,1,0,0,1,2015-02-27
19.9652517620011,49.9749478252938,3069,1,0,0,1,1,0,0,1,1,0,0,1,2015-02-27
19.9666457006969,49.9749602506139,3070,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.9819790901558,49.9750958239095,3081,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.9833730404184,49.9751080482788,3082,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.9847669916365,49.975120255902,3083,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.9861609438087,49.9751324467791,3084,2,0,0,2,1,0,0,1,1,0,0,1,2016-12-31
19.9875548969336,49.97514462091,3085,2,0,0,2,2,0,0,2,2,0,0,2,2015-02-27
19.98894885101,49.9751567782948,3086,2,1,0,3,2,1,0,3,2,1,0,3,2015-02-27
19.9903428060366,49.9751689189334,3087,3,0,0,3,3,0,0,3,3,0,0,3,2015-02-27
19.991736762012,49.9751810428258,3088,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.9973125953761,49.9752293709326,3092,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.9987065560761,49.9752414110934,3093,1,1,0,2,1,1,0,2,1,1,0,2,2015-02-27
20.0001005177172,49.9752534345079,3094,1,0,0,1,1,0,0,1,1,0,0,1,2015-02-27
20.0028884438171,49.9752774310977,3096,2,0,0,2,2,0,0,2,2,0,0,2,2015-02-27
20.0042824082733,49.9752894042728,3097,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.8648696636783,49.9749081384373,3256,0,0,1,1,0,0,1,1,0,0,1,1,2015-02-27
19.8662635549722,49.9749217698067,3257,0,0,4,4,0,0,4,4,0,0,4,4,2015-02-27
19.8676574473316,49.9749353844319,3258,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.8746269250634,49.9750032063945,3263,1,0,0,1,1,0,0,1,1,0,0,1,2015-02-27
19.8760208237876,49.9750167205541,3264,1,0,0,1,1,0,0,1,1,0,0,1,2015-02-27
19.877414723568,49.9750302179693,3265,2,1,1,4,2,1,1,4,2,1,1,4,2015-02-27
19.8788086244033,49.9750436986402,3266,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.8802025262923,49.9750571625665,3267,1,0,0,1,1,0,0,1,1,0,0,1,2015-02-27
19.94153523262,49.9756329978789,3311,1,0,0,1,1,0,0,1,1,0,0,1,2015-02-27
19.9429291805672,49.9756457082747,3312,2,0,0,2,1,0,0,1,1,0,0,1,2016-12-31
19.9443231295078,49.9756584019247,3313,6,0,1,7,5,0,1,6,5,0,1,6,2016-12-31
19.9457170794405,49.9756710788289,3314,2,0,0,2,2,0,0,2,2,0,0,2,2015-02-27
19.947111030364,49.9756837389872,3315,2,0,0,2,0,0,0,0,0,0,0,0,2016-12-31
19.948504982277,49.9756963823997,3316,1,0,1,2,0,0,0,0,0,0,0,0,2016-12-31
19.9498989351781,49.9757090090662,3317,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.9568687144609,49.9757718912092,3322,1,0,0,1,1,0,0,1,1,0,0,1,2015-02-27
19.9582626732637,49.9757844173997,3323,1,0,0,1,1,0,0,1,1,0,0,1,2015-02-27
19.9596566330455,49.9757969268441,3324,1,0,0,1,1,0,0,1,1,0,0,1,2015-02-27
19.961050593805,49.9758094195423,3325,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.9624445555409,49.9758218954944,3326,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.9638385182519,49.9758343547002,3327,3,0,0,3,3,0,0,3,3,0,0,3,2015-02-27
19.9847480750382,49.9760192332259,3342,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.9861420531727,49.9760314244889,3343,3,1,1,5,2,1,1,4,2,1,1,4,2016-12-31
